owner,repo,maintenance,contribution,popularity,code_quality,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,stars_and_watches,forks,project_maturity,downstream_dependents,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
slevithan,xregexp,3.621666666666666,0.9388888888888888,1.2325,2.475,9.956666666666663,,1.6900000000000002,2.84,2.8166666666666664,,,0.15,0.04,3.89,0.85,6.359999999999999,,1.065,0.3762962962962963
auth0,jwt-decode,5.7141666666666655,1.235,0.8875000000000001,2.640555555555556,9.943333333333332,5.175,2.763333333333333,4.975,2.94,0.4649999999999999,0.3,0.14,0.04,3.19,0.18,6.486666666666667,0.175,1.26,0.4716666666666667
twbs,bootstrap,5.30875,2.0955555555555554,5.85625,2.0283333333333338,8.506666666666666,5.21,4.493333333333333,3.0250000000000004,3.9766666666666666,0.8799999999999999,1.43,7.61,10.0,4.175000000000001,1.64,3.5900000000000003,1.435,1.06,6.568518518518519
markdown-it,markdown-it,4.989791666666667,1.1938888888888888,1.01875,2.596111111111111,8.82,4.7525,3.0866666666666664,3.3000000000000003,3.0666666666666664,0.0849999999999999,0.43,0.77,0.21,2.905,0.19,6.723333333333334,0.22,0.845,0.7246296296296296
facebook,create-react-app,5.135208333333333,1.0855555555555554,3.53375,2.457777777777778,6.710000000000001,4.9825,5.933333333333333,2.915,3.1466666666666665,0.11,,4.63,3.39,2.4650000000000003,3.65,5.683333333333334,0.005,1.685,3.035185185185185
d3,d3-shape,2.61875,0.9366666666666666,0.7625,2.4677777777777776,3.313333333333333,2.5,1.2866666666666668,3.375,2.81,,,0.11,0.04,2.77,0.13,6.653333333333333,,0.75,0.3622222222222222
pinojs,pino,4.722499999999999,1.5227777777777778,0.91625,3.093888888888889,8.496666666666666,4.915,2.9933333333333336,2.4850000000000003,3.373333333333333,0.195,1.0,0.59,0.11,2.8549999999999995,0.11,6.6866666666666665,0.53,2.065,0.7409259259259259
socketio,socket.io,4.479375,1.1455555555555554,2.5024999999999995,2.2666666666666666,8.143333333333333,4.427499999999999,2.8966666666666665,2.45,3.0866666666666664,0.05,0.3,2.73,1.28,4.62,1.38,5.8,0.155,0.845,1.7185185185185186
gajus,eslint-plugin-flowtype,2.04,0.9355555555555556,1.4025,3.2433333333333336,,,4.12,4.04,2.806666666666666,,,0.05,0.02,2.66,2.88,7.56,,2.17,0.3351851851851852
npm,read,3.263125,1.0266666666666666,1.05375,2.593888888888889,,4.8925,3.96,4.2,2.85,0.1,0.13,0.01,,3.955,0.25,6.746666666666667,0.09,0.945,
webpack-contrib,raw-loader,1.4604166666666667,0.9355555555555556,1.11625,1.945555555555556,,,2.276666666666667,3.565,2.806666666666666,,,0.04,0.01,3.845,0.57,4.946666666666666,,0.89,0.3285185185185185
npm,cli,5.485625,2.19,0.79,2.513333333333333,7.976666666666667,5.2925,4.473333333333334,4.2,4.12,0.8,1.65,0.36,0.35,2.45,,5.43,1.245,0.865,0.9666666666666668
d3,d3-scale,4.358750000000001,0.9383333333333334,0.76125,2.469444444444444,8.333333333333334,4.44,1.2866666666666668,3.375,2.81,0.005,,0.07,0.04,2.805,0.13,6.563333333333333,,0.845,0.3494444444444444
less,less.js,4.9350000000000005,1.0133333333333334,1.45375,2.130555555555556,7.273333333333333,4.7250000000000005,3.776666666666667,3.965,2.91,0.04,0.09,0.77,0.44,4.605,,5.486666666666667,0.0499999999999999,0.855,0.7411111111111112
sindresorhus,multimatch,2.762083333333333,0.9355555555555556,0.8574999999999999,2.783333333333333,,,3.043333333333333,8.004999999999999,2.806666666666666,,,0.01,,3.23,0.19,6.73,,1.62,
dankogai,js-base64,3.5360416666666667,0.955,1.645,2.797222222222222,2.833333333333333,4.9775,2.1633333333333336,4.17,2.82,0.005,0.04,0.19,0.17,4.87,1.35,7.116666666666667,0.02,1.255,0.4383333333333333
mikehall314,es6-promisify,0.8591666666666666,0.9355555555555556,0.94125,2.225555555555556,,,1.586666666666667,1.85,2.806666666666666,,,0.02,,3.165,0.58,5.946666666666666,,0.73,
oliviertassinari,babel-plugin-transform-react-remove-prop-types,0.9679166666666668,0.9355555555555556,1.32375,2.256111111111112,,,1.8766666666666667,1.995,2.806666666666666,,,0.04,0.01,2.605,2.64,5.913333333333334,,0.855,0.3285185185185185
npm,osenv,1.5325,0.9355555555555556,1.4137499999999998,2.4966666666666666,,,1.93,4.2,2.806666666666666,,,0.01,,3.765,1.88,6.449999999999999,,1.04,
bevacqua,hash-sum,1.57875,0.9355555555555556,0.8787499999999999,2.431111111111111,,,1.5599999999999998,4.755,2.806666666666666,,,0.01,,2.715,0.79,6.773333333333333,,0.52,
mongodb,js-bson,2.523333333333333,1.18,0.9975,2.6727777777777777,,4.88,2.063333333333333,3.1500000000000004,2.95,0.16,0.43,0.05,0.03,3.91,,6.493333333333333,0.22,1.305,0.42
bjyoungblood,es6-error,1.268333333333333,0.9355555555555556,0.7474999999999999,2.315555555555556,,,1.5333333333333334,3.54,2.806666666666666,,,0.01,,2.82,0.16,5.536666666666666,,1.41,
jest-community,jest-watch-typeahead,1.9395833333333337,0.9966666666666666,1.0825,2.7077777777777783,,4.105,1.393333333333333,2.26,2.82,0.13,0.04,0.02,,1.82,2.49,7.093333333333334,0.03,1.0,
babel,babel-eslint,1.39625,0.9355555555555556,1.23375,2.6761111111111107,,,2.6,2.985,2.806666666666666,,,0.14,0.03,2.885,1.88,5.823333333333333,,2.205,0.3685185185185185
niksy,throttle-debounce,3.8770833333333337,0.9355555555555556,0.7875,2.5238888888888886,9.95,,1.7433333333333334,3.815,2.806666666666666,,,0.05,0.01,2.91,0.18,6.626666666666666,,0.945,0.3318518518518519
gulpjs,vinyl,1.45375,0.9355555555555556,0.94375,2.842777777777778,,,2.41,3.405,2.806666666666666,,,0.06,0.01,3.285,0.42,6.803333333333334,,1.725,0.3351851851851852
webpack-contrib,webpack-hot-middleware,5.148958333333334,1.018888888888889,0.80375,2.986666666666667,9.916666666666666,4.5975,2.516666666666667,3.565,2.8666666666666667,0.02,0.17,0.11,0.04,2.785,0.28,6.63,0.085,2.245,0.3896296296296297
puppeteer,puppeteer,4.914791666666667,2.535555555555556,1.93125,2.72,9.153333333333334,6.1925,2.763333333333333,1.5499999999999998,3.9266666666666654,2.42,1.26,3.93,1.14,2.525,0.13,6.19,1.3050000000000002,0.6649999999999999,2.535185185185185
sockjs,sockjs-client,4.5875,0.905,1.75,2.691111111111111,7.11,4.035,3.1300000000000003,4.075,2.66,0.015,0.04,0.38,0.17,4.1,2.35,7.293333333333333,0.035,0.745,0.485
philbooth,bfj,1.4729166666666669,0.8766666666666666,1.3424999999999998,2.7016666666666667,,,2.6566666666666667,3.235,2.63,,,0.01,,2.88,2.48,7.48,,0.625,
reduxjs,redux-thunk,4.908125,0.9666666666666665,1.115,2.9466666666666668,9.793333333333337,5.012499999999999,2.4266666666666667,2.4,2.7,0.03,0.17,0.81,0.13,2.74,0.78,6.71,0.09,2.04,0.6355555555555554
mongodb,node-mongodb-native,3.2827083333333333,1.3694444444444445,1.65125,2.582222222222222,,5.1575,4.823333333333333,3.1500000000000004,2.833333333333333,0.665,0.61,0.45,0.22,4.7250000000000005,1.21,6.556666666666668,0.4499999999999999,0.74,0.6798148148148148
omnidan,node-emoji,5.2039583333333335,0.9794444444444445,0.8862499999999999,2.3833333333333333,8.413333333333334,5.0025,3.81,3.59,2.683333333333333,0.125,0.13,0.06,0.03,3.055,0.4,5.8500000000000005,0.135,1.165,0.3564814814814814
expressjs,serve-favicon,3.897916666666666,0.8766666666666666,0.87,2.535,9.983333333333333,,1.903333333333333,3.705,2.63,,,0.03,0.01,3.23,0.21,6.72,,0.885,0.3055555555555555
request,request-promise-native,1.235,0.8766666666666666,0.94875,2.5894444444444447,,,1.42,3.52,2.63,,,0.05,0.01,2.435,1.3,7.093333333333334,,0.675,0.3122222222222222
brianc,node-postgres,4.819374999999999,1.2333333333333332,1.2575,2.268333333333333,8.433333333333332,4.672499999999999,1.7166666666666668,4.455,3.01,0.12,0.57,0.54,0.15,4.34,,5.43,0.295,1.08,0.6411111111111111
jasmine,jasmine,5.4589583333333325,0.9355555555555556,1.51625,2.633888888888889,9.62,4.9275,3.353333333333333,3.935,2.686666666666667,0.03,0.09,0.72,0.29,5.055000000000001,,6.656666666666666,0.045,1.2,0.6485185185185185
expressjs,multer,4.282708333333333,0.9105555555555556,1.08,2.977222222222222,6.423333333333333,4.992500000000001,2.01,3.705,2.686666666666667,0.005,0.04,0.51,0.13,3.21,0.47,6.816666666666667,0.02,2.095,0.5168518518518518
paulmillr,es6-shim,3.50375,0.8766666666666666,1.0625,2.466111111111112,9.983333333333334,,1.6366666666666667,2.395,2.63,,,0.14,0.05,4.0,0.06,6.663333333333334,,0.735,0.3555555555555555
shellscape,webpack-manifest-plugin,1.52875,0.8766666666666666,1.41,2.6822222222222223,,,3.6,2.515,2.63,,,0.06,0.02,2.84,2.72,6.786666666666666,,1.26,0.3188888888888888
i18next,i18next,4.734791666666666,1.2305555555555554,1.1525,2.49,9.006666666666666,4.927499999999999,2.5,2.505,2.9966666666666666,0.215,0.48,0.33,0.08,4.13,0.07,6.22,0.24,1.01,0.5468518518518518
socketio,socket.io-client,4.007083333333334,0.9133333333333332,1.61125,2.398333333333333,5.996666666666667,4.9750000000000005,2.606666666666667,2.45,2.69,0.01,0.04,0.48,0.39,4.615,0.96,5.7,0.025,1.47,0.5944444444444444
stylelint,stylelint,5.213333333333332,1.7988888888888888,0.99875,2.633888888888889,8.969999999999999,5.505,4.263333333333333,2.115,3.2466666666666666,1.06,1.09,0.49,0.12,3.185,0.2,6.346666666666667,0.7050000000000001,0.85,0.802962962962963
stephenhandley,requireindex,1.0179166666666666,0.8766666666666666,0.9925,2.431666666666666,,,1.0666666666666669,3.005,2.63,,,,,3.81,0.16,6.72,,0.575,
eslint-community,eslint-plugin-promise,2.9360416666666667,0.8811111111111111,0.74625,2.856111111111112,3.223333333333333,2.4925,4.583333333333333,1.445,2.643333333333333,,,0.04,0.01,2.535,0.4,6.413333333333334,,2.155,0.3103703703703703
expressjs,morgan,3.36375,0.8777777777777778,1.1525,2.792777777777778,7.766666666666667,,1.9833333333333327,3.705,2.6333333333333333,,,0.35,0.07,3.23,0.96,6.973333333333334,,1.405,0.4325925925925926
googlechrome,workbox,4.167291666666667,0.9238888888888888,1.44875,2.4266666666666667,6.3933333333333335,4.8875,2.7433333333333336,2.645,2.7266666666666666,0.045,,0.55,0.1,2.565,2.58,6.19,0.005,1.085,0.5246296296296297
vuejs,core,4.912708333333334,3.254444444444444,1.23125,3.3383333333333334,8.946666666666667,5.4775,2.276666666666667,2.95,4.993333333333333,1.64,3.13,1.99,0.98,1.955,,6.54,2.21,1.265,2.0748148148148147
npm,fstream,1.4733333333333334,0.8766666666666666,1.26625,2.553888888888889,,,1.6933333333333334,4.2,2.63,,,0.01,0.01,3.985,1.06,6.196666666666666,,1.465,0.2988888888888888
sindresorhus,debounce,4.82125,0.9199999999999998,0.91375,2.803333333333333,5.646666666666667,2.64,2.9933333333333336,8.004999999999999,2.66,0.01,0.09,0.03,0.01,3.365,0.25,6.75,0.045,1.615,0.3199999999999999
luin,ioredis,4.611041666666667,0.9444444444444444,0.9525,2.4988888888888887,6.556666666666668,4.6825,3.95,3.255,2.813333333333333,0.02,,0.6,0.14,2.99,0.08,6.156666666666666,,1.34,0.5614814814814815
ladjs,supertest,3.301875,0.9005555555555556,1.2225,3.7338888888888895,5.1866666666666665,2.0775,3.2433333333333327,2.7,2.6566666666666667,0.005,0.04,0.61,0.1,3.8,0.38,6.646666666666667,0.02,4.535,0.5368518518518518
dominictarr,map-stream,2.18125,0.8766666666666666,1.005,2.5505555555555555,,,0.96,7.765,2.63,,,0.01,,3.71,0.3,6.766666666666667,,0.885,
cthackers,adm-zip,4.173958333333333,0.9033333333333332,1.125,2.836111111111112,6.723333333333334,4.967499999999999,1.5599999999999998,3.4450000000000003,2.67,,0.04,0.09,0.05,3.88,0.48,6.803333333333335,0.02,1.685,0.3477777777777777
bgrins,TinyColor,3.2491666666666665,0.8788888888888887,1.0924999999999998,2.588888888888889,4.13,2.5,2.986666666666667,3.38,2.6366666666666663,,,0.22,0.05,4.1,,6.666666666666667,,1.1,0.3829629629629629
dominictarr,event-stream,2.4370833333333333,0.8766666666666666,1.1075,2.632222222222222,,,1.9833333333333327,7.765,2.63,,,0.1,0.02,4.05,0.26,6.696666666666666,,1.2,0.3322222222222222
adaltas,node-csv,4.479375,0.97,1.145,2.4644444444444447,7.186666666666667,4.9775,3.4233333333333333,2.33,2.72,0.06,0.13,0.17,0.03,4.36,0.02,6.663333333333334,0.07,0.66,0.3899999999999999
airbnb,javascript,5.460625,1.0694444444444444,3.455,3.4822222222222226,9.853333333333332,5.0525,3.176666666666667,3.76,2.793333333333333,0.155,0.26,6.41,3.32,3.64,0.45,6.796666666666667,0.15,3.5,3.599814814814815
janl,mustache.js,3.3641666666666667,0.88,1.44125,2.1494444444444443,7.29,,1.9566666666666668,4.21,2.64,,,0.74,0.31,4.715,,5.263333333333333,,1.185,0.6433333333333334
log4js-node,log4js-node,3.4268750000000003,0.918888888888889,1.23875,2.550555555555556,7.426666666666667,1.7425,1.903333333333333,2.635,2.6966666666666668,0.02,0.04,0.26,0.1,4.595,,6.386666666666667,0.03,1.235,0.4262962962962963
beautifier,js-beautify,5.464583333333333,1.1194444444444442,1.445,2.9033333333333338,8.1,4.494999999999999,6.363333333333333,2.9,2.813333333333333,0.195,0.35,0.38,0.17,5.010000000000001,0.22,6.68,0.19,1.84,0.5564814814814815
AvianFlu,ncp,1.47,0.8766666666666666,1.08625,2.651666666666667,,,1.4800000000000002,4.4,2.63,,,0.03,0.01,4.045,0.26,6.75,,1.2049999999999998,0.3055555555555555
sindresorhus,clipboardy,4.697916666666666,0.8788888888888887,0.7274999999999999,2.688333333333333,7.766666666666667,,3.02,8.004999999999999,2.6366666666666663,,,0.08,0.01,2.24,0.58,6.859999999999999,,1.2049999999999998,0.3229629629629629
eligrey,FileSaver.js,2.546666666666667,0.8833333333333333,1.4049999999999998,3.0383333333333336,5.226666666666667,,1.6900000000000002,3.27,2.65,,,0.96,0.56,4.1,,6.090000000000001,,3.025,0.8011111111111111
mysticatea,eslint-plugin-node,3.208333333333333,0.8766666666666666,0.7575,2.5022222222222226,3.02,5.0,1.7433333333333334,3.0700000000000003,2.63,,,0.04,0.02,2.66,0.31,6.756666666666668,,0.75,0.3122222222222222
shama,gaze,1.7966666666666666,0.8766666666666666,1.19625,2.705555555555556,,,1.7166666666666668,5.47,2.63,,,0.05,0.02,3.665,1.05,7.016666666666667,,1.1,0.3155555555555555
csstools,postcss-normalize,1.415,0.8766666666666666,1.295,2.671666666666667,,,2.5900000000000003,3.0700000000000003,2.63,,,0.04,,2.72,2.42,7.44,,0.575,
helmetjs,helmet,5.230833333333333,0.9422222222222222,1.14125,2.4455555555555555,8.683333333333332,4.99,4.010000000000001,3.24,2.6966666666666668,0.04,0.09,0.45,0.05,3.895,0.17,6.496666666666667,0.0499999999999999,0.79,0.4807407407407407
jeremyfa,yaml.js,1.2083333333333333,0.8766666666666666,1.1124999999999998,2.438888888888889,,,1.663333333333333,3.17,2.63,,,0.04,0.02,4.33,0.06,6.686666666666667,,0.63,0.3122222222222222
lovell,sharp,5.023749999999999,1.4138888888888888,1.2775000000000003,2.683888888888889,9.47,5.065,3.0700000000000003,2.49,3.4166666666666665,0.255,0.57,1.26,0.16,3.4600000000000004,0.23,6.736666666666667,0.305,1.01,0.9446296296296296
redis,node-redis,4.9122916666666665,1.3911111111111112,1.4150000000000005,2.565555555555556,7.953333333333333,4.5575,4.1933333333333325,2.9450000000000003,3.1633333333333336,0.14,0.87,0.76,0.23,4.5200000000000005,0.15,6.546666666666667,0.475,0.675,0.7937037037037037
sindresorhus,pretty-ms,6.011666666666667,0.8988888888888887,0.83875,2.9188888888888886,8.043333333333335,5.005,2.9933333333333336,8.004999999999999,2.6466666666666665,0.01,0.04,0.05,0.01,3.175,0.12,6.706666666666666,0.02,2.03,0.3196296296296296
liady,webpack-node-externals,2.1595833333333334,0.8766666666666666,0.7037499999999999,2.4255555555555555,2.146666666666667,2.5,1.6366666666666667,2.355,2.63,,,0.06,0.01,2.535,0.21,6.286666666666666,,0.99,0.3155555555555555
taylorhakes,promise-polyfill,2.717916666666667,0.8977777777777777,0.91,2.6138888888888885,3.3266666666666667,2.46,1.6900000000000002,3.395,2.643333333333333,0.01,0.04,0.1,0.04,3.23,0.27,6.3566666666666665,0.02,1.465,0.3459259259259259
angular,angular,6.195833333333332,4.651111111111111,2.96,4.453333333333333,8.923333333333332,6.494999999999999,5.43,3.935,6.513333333333333,3.44,4.0,4.27,3.13,3.43,1.01,5.57,7.0,0.79,4.017037037037036
steveukx,git-js,5.082291666666667,0.9111111111111112,0.91375,2.440555555555556,8.69,4.9075,3.146666666666667,3.585,2.543333333333333,0.06,0.13,0.15,0.04,3.465,,6.576666666666667,0.09,0.655,0.367037037037037
rollup,rollup-pluginutils,0.9870833333333332,0.8188888888888889,0.7987500000000001,2.431111111111111,,,1.1233333333333333,2.825,2.4566666666666666,,,,,2.615,0.58,5.883333333333333,,1.41,
react-component,util,3.645625,0.9577777777777778,0.80625,2.627222222222222,4.926666666666667,4.892500000000001,1.6833333333333336,3.08,2.543333333333333,0.11,0.22,0.03,0.02,3.035,0.14,6.696666666666666,0.125,1.06,0.3359259259259259
medikoo,cli-color,1.43625,0.8188888888888889,1.06625,2.480555555555556,,,1.61,4.135,2.4566666666666666,,,0.03,0.01,4.095,0.13,6.706666666666667,,0.735,0.2862962962962963
d3,d3-selection,4.28875,0.8216666666666667,0.7412499999999999,2.4455555555555555,9.993333333333334,2.5,1.2866666666666668,3.375,2.46,0.005,,0.03,0.04,2.825,0.07,6.536666666666666,,0.8,0.2972222222222222
mysticatea,npm-run-all,2.03,0.8188888888888889,0.87,2.5066666666666664,3.333333333333333,,1.7166666666666668,3.0700000000000003,2.4566666666666666,,,0.25,0.03,2.88,0.32,6.73,,0.79,0.3662962962962963
kangax,html-minifier,3.295416666666667,0.8255555555555555,1.56,2.750555555555556,6.953333333333333,,1.7433333333333334,4.485,2.4766666666666666,,,0.22,0.07,4.64,1.31,6.836666666666667,,1.415,0.3718518518518519
istanbuljs,nyc,2.81125,0.8372222222222222,0.79375,2.513333333333333,6.236666666666667,,2.433333333333333,2.575,2.506666666666667,0.005,,0.25,0.04,2.775,0.11,6.69,,0.85,0.3757407407407407
alexgorbatchev,crc,3.9725,0.8188888888888889,1.14,2.3866666666666667,9.993333333333334,,1.586666666666667,4.3100000000000005,2.4566666666666666,,,0.02,0.01,4.3,0.23,6.5200000000000005,,0.64,0.2829629629629629
segmentio,is-url,1.4441666666666668,0.8188888888888889,0.92,2.6183333333333336,,,1.366666666666667,4.41,2.4566666666666666,,,0.01,0.01,3.38,0.28,6.760000000000001,,1.095,0.2796296296296296
expressjs,cookie-parser,4.742083333333333,0.8216666666666667,0.97375,2.7338888888888886,8.333333333333334,5.0,1.93,3.705,2.46,0.005,,0.09,0.03,3.215,0.56,6.846666666666667,,1.355,0.3138888888888889
kevva,decompress,1.9804166666666665,0.82,0.91,2.51,2.306666666666666,,1.5599999999999998,4.055,2.46,,,0.02,0.01,3.36,0.25,6.75,,0.78,0.2833333333333333
nodemailer,nodemailer,5.056041666666667,0.9977777777777778,1.365,2.5400000000000005,9.13,4.8875,3.2466666666666666,2.96,2.6833333333333336,0.05,0.26,0.74,0.17,4.26,0.29,6.5200000000000005,0.145,0.955,0.6359259259259259
stylus,stylus,4.424375,0.9111111111111112,1.4037499999999998,2.7211111111111115,7.113333333333333,4.9225,3.1366666666666667,2.525,2.5333333333333337,0.07,0.13,0.51,0.14,4.284999999999999,0.68,6.8933333333333335,0.07,1.2,0.5203703703703705
codemirror,basic-setup,0.6950000000000001,0.8188888888888889,0.21,2.395555555555556,,,1.26,1.52,2.4566666666666666,,,,,0.84,,6.666666666666667,,0.52,
hapijs,hoek,2.6125,0.8622222222222221,1.13,2.8316666666666666,,4.45,2.58,3.42,2.486666666666667,0.01,0.09,0.02,0.02,3.68,0.8,6.93,0.045,1.52,0.3007407407407407
gulpjs,fancy-log,2.0200000000000005,0.8188888888888889,0.8074999999999999,2.626666666666667,,2.345,2.33,3.405,2.4566666666666666,,,0.01,,2.67,0.55,6.840000000000001,,1.04,
vuejs,vue-loader,4.51875,0.8922222222222221,1.0675,1.97,9.273333333333332,4.484999999999999,1.366666666666667,2.95,2.5166666666666666,0.03,0.13,0.23,0.12,3.15,0.77,4.89,0.07,0.95,0.4140740740740741
chartjs,Chart.js,4.305625,1.2955555555555556,2.0725,2.5522222222222224,7.803333333333334,4.9575000000000005,1.7466666666666668,2.715,3.0766666666666667,0.16,0.65,2.87,1.51,3.64,0.27,6.236666666666667,0.35,1.07,1.891851851851852
react-dropzone,react-dropzone,2.7275,0.8338888888888888,0.94875,2.751111111111112,2.86,2.23,3.43,2.39,2.4966666666666666,0.005,,0.46,0.1,3.165,0.07,5.8933333333333335,,2.3600000000000003,0.4646296296296296
Automattic,cli-table,3.4204166666666667,0.82,1.13875,2.832777777777778,5.0,,1.9566666666666668,6.725,2.46,,,0.1,0.02,4.265,0.17,6.723333333333334,,1.775,0.3133333333333333
dreamerslab,node.inflection,2.829583333333334,0.8205555555555555,1.06375,2.765,,4.760000000000001,1.893333333333333,4.665,2.4566666666666666,0.005,,0.02,0.01,3.915,0.31,6.73,,1.565,0.2835185185185185
nock,nock,5.260000000000001,1.0844444444444443,1.2287499999999998,2.7327777777777773,7.206666666666667,4.845000000000001,6.263333333333333,2.725,2.623333333333333,0.2,0.43,0.57,0.09,4.204999999999999,0.05,6.333333333333333,0.2299999999999999,1.635,0.5814814814814814
vuejs,vue,4.894166666666666,1.098888888888889,4.34625,2.632777777777778,8.886666666666667,4.949999999999999,2.79,2.95,2.686666666666667,0.22,0.39,9.41,4.29,3.685,,6.543333333333334,0.195,1.16,4.932962962962963
